Epoch 79 valid AUC 0.859 (cont: 0.320, recon: 0.452)
Epoch 79 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 80 train AUC 0.952 (cont: 0.154, recon: 0.203)
Epoch 80 valid AUC 0.860 (cont: 0.320, recon: 0.452)
Epoch 80 test AUC 0.788 (cont: 0.347, recon: 0.520)
Epoch 81 train AUC 0.952 (cont: 0.154, recon: 0.203)
Epoch 81 valid AUC 0.860 (cont: 0.320, recon: 0.452)
Epoch 81 test AUC 0.787 (cont: 0.349, recon: 0.520)
Epoch 82 train AUC 0.953 (cont: 0.153, recon: 0.203)
Epoch 82 valid AUC 0.861 (cont: 0.320, recon: 0.452)
Epoch 82 test AUC 0.785 (cont: 0.353, recon: 0.520)
Epoch 83 train AUC 0.953 (cont: 0.153, recon: 0.203)
Epoch 83 valid AUC 0.860 (cont: 0.320, recon: 0.452)
Epoch 83 test AUC 0.788 (cont: 0.349, recon: 0.520)
Epoch 84 train AUC 0.953 (cont: 0.153, recon: 0.203)
Epoch 84 valid AUC 0.860 (cont: 0.319, recon: 0.452)
Epoch 84 test AUC 0.786 (cont: 0.348, recon: 0.520)
Epoch 85 train AUC 0.953 (cont: 0.153, recon: 0.203)
Epoch 85 valid AUC 0.861 (cont: 0.319, recon: 0.452)
Epoch 85 test AUC 0.791 (cont: 0.345, recon: 0.520)
Epoch 86 train AUC 0.953 (cont: 0.153, recon: 0.203)
Epoch 86 valid AUC 0.860 (cont: 0.319, recon: 0.452)
Epoch 86 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 87 train AUC 0.953 (cont: 0.153, recon: 0.203)
Epoch 87 valid AUC 0.860 (cont: 0.319, recon: 0.452)
Epoch 87 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 88 train AUC 0.953 (cont: 0.153, recon: 0.203)
Epoch 88 valid AUC 0.860 (cont: 0.320, recon: 0.452)
Epoch 88 test AUC 0.789 (cont: 0.345, recon: 0.520)
Epoch 89 train AUC 0.953 (cont: 0.152, recon: 0.203)
Epoch 89 valid AUC 0.860 (cont: 0.320, recon: 0.452)
Epoch 89 test AUC 0.789 (cont: 0.346, recon: 0.520)
Epoch 90 train AUC 0.953 (cont: 0.152, recon: 0.203)
