Epoch 65 train AUC 0.865 (cont: 0.221, recon: 0.042)
Epoch 65 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 65 test AUC 0.754 (cont: 0.194, recon: 0.075)
Epoch 66 train AUC 0.865 (cont: 0.221, recon: 0.042)
Epoch 66 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 66 test AUC 0.754 (cont: 0.194, recon: 0.075)
Epoch 67 train AUC 0.865 (cont: 0.221, recon: 0.042)
Epoch 67 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 67 test AUC 0.754 (cont: 0.194, recon: 0.075)
Epoch 68 train AUC 0.865 (cont: 0.221, recon: 0.042)
Epoch 68 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 68 test AUC 0.754 (cont: 0.194, recon: 0.075)
Epoch 69 train AUC 0.865 (cont: 0.221, recon: 0.042)
Epoch 69 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 69 test AUC 0.754 (cont: 0.194, recon: 0.075)
Epoch 70 train AUC 0.865 (cont: 0.220, recon: 0.042)
Epoch 70 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 70 test AUC 0.754 (cont: 0.194, recon: 0.075)
Epoch 71 train AUC 0.865 (cont: 0.220, recon: 0.042)
Epoch 71 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 71 test AUC 0.754 (cont: 0.194, recon: 0.075)
Epoch 72 train AUC 0.866 (cont: 0.220, recon: 0.042)
Epoch 72 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 72 test AUC 0.754 (cont: 0.194, recon: 0.075)
Epoch 73 train AUC 0.866 (cont: 0.220, recon: 0.042)
Epoch 73 valid AUC 0.803 (cont: 0.218, recon: 0.068)
Epoch 73 test AUC 0.754 (cont: 0.194, recon: 0.075)
Epoch 74 train AUC 0.866 (cont: 0.220, recon: 0.042)
Epoch 74 valid AUC 0.803 (cont: 0.218, recon: 0.068)
