name,pretrained_method,protein_emd,mol_emd,auc
rrf-ProtBert-BFD-pebchem10m,1,ProtBert-BFD,pebchem10m,0.809960663318634
rrf-ESM2-chemberta,2,ESM2,chemberta,0.8228696584701538
rrf-ESM2-pebchem10m,1,ESM2,pebchem10m,0.7658386826515198
rrf-ProtBertT5-xl-chemberta,2,ProtBertT5-xl,chemberta,0.8591196537017822
rrf-ESM-1B-pebchem10m,2,ESM-1B,pebchem10m,0.8384789228439331
rrf-ProtBertT5-xl-roberta,2,ProtBertT5-xl,roberta,0.8698010444641113
rrf-ESM2-roberta,2,ESM2,roberta,0.8155139684677124
rrf-ProtBert-BFD-pebchem10m,2,ProtBert-BFD,pebchem10m,0.822053074836731
rrf-ESM2-pebchem10m,2,ESM2,pebchem10m,0.8163553476333618
rrf-ESM2-chemberta,1,ESM2,chemberta,0.7433432936668396
rrf-ProtBertT5-xl-chemberta,1,ProtBertT5-xl,chemberta,0.8208416104316711
rrf-ProtBertT5-xl-roberta,1,ProtBertT5-xl,roberta,0.8334237337112427
rrf-ESM-1B-pebchem10m,1,ESM-1B,pebchem10m,0.7080347537994385
rrf-ProtBert-BFD-pebchem10m,1,ProtBert-BFD,pebchem10m,0.8024476170539856
