name,seed,use_fuse,use_model,acc
mol-chemberta-SIDER,55,False,True,0.5699063231850117
mol-roberta-SIDER,56,True,False,0.6294386103201554
mol-pebchem10m-SIDER,56,True,True,0.5865437352098328
mol-roberta-SIDER,56,False,True,0.5796289757781496
mol-chemberta-SIDER,56,True,True,0.5897374752082054
mol-roberta-SIDER,57,True,True,0.5854620339052004
mol-pebchem10m-SIDER,56,True,False,0.6217097991285578
mol-chemberta-SIDER,56,True,False,0.6291295154789848
mol-pebchem10m-SIDER,56,False,True,0.5916831945296874
mol-chemberta-SIDER,56,False,True,0.5954826428034968
mol-roberta-SIDER,57,True,False,0.6109870685814135
mol-pebchem10m-SIDER,57,True,True,0.5935181996846208
mol-chemberta-SIDER,57,True,True,0.5923450927346553
mol-roberta-SIDER,57,False,True,0.5980531679336076
mol-roberta-SIDER,58,True,True,0.5794180350625475
mol-pebchem10m-SIDER,57,True,False,0.6146036741288328
mol-chemberta-SIDER,57,True,False,0.6159783123532557
mol-pebchem10m-SIDER,57,False,True,0.5742706614051809
mol-chemberta-SIDER,57,False,True,0.5892196931833151
mol-roberta-SIDER,58,True,False,0.622808224513212
mol-pebchem10m-SIDER,58,True,True,0.6090672704058024
mol-chemberta-SIDER,58,True,True,0.6124890028170857
mol-roberta-SIDER,58,False,True,0.5906615328980285
mol-roberta-SIDER,59,True,True,0.580635316558377
mol-chemberta-SIDER,58,True,False,0.6453131672936759
mol-pebchem10m-SIDER,58,True,False,0.6764188655131519
mol-roberta-SIDER,59,True,False,0.62560226280765
mol-pebchem10m-SIDER,58,False,True,0.598283438334098
mol-chemberta-SIDER,58,False,True,0.5840696938760311
mol-roberta-SIDER,59,False,True,0.5644495073716365
mol-chemberta-SIDER,59,True,True,0.5634276957795834
mol-pebchem10m-SIDER,59,True,True,0.579141644493747
mol-roberta-SIDER,60,True,True,0.5867868889468326
mol-pebchem10m-SIDER,59,True,False,0.6191482969726396
mol-chemberta-SIDER,59,True,False,0.6335032272241241
mol-roberta-SIDER,60,True,False,0.6140277886954805
mol-pebchem10m-SIDER,59,False,True,0.5797786109054824
mol-chemberta-SIDER,59,False,True,0.5798312542527744
mol-roberta-SIDER,60,False,True,0.6004962814837254
mol-pebchem10m-SIDER,60,True,True,0.5898074644492972
mol-chemberta-SIDER,60,True,True,0.6024804607739191
mol-roberta-SIDER,61,True,True,0.5739279378773479
mol-pebchem10m-SIDER,60,True,False,0.6303545939349552
mol-roberta-SIDER,61,True,False,0.5834344444209287
mol-chemberta-SIDER,60,True,False,0.625343188663654
mol-roberta-SIDER,61,False,True,0.5814171128782135
mol-pebchem10m-SIDER,60,False,True,0.5821286780142605
mol-chemberta-SIDER,60,False,True,0.5874372578267146
mol-roberta-SIDER,62,True,True,0.5623249762120027
mol-pebchem10m-SIDER,61,True,True,0.5864202177602136
mol-chemberta-SIDER,61,True,True,0.5693733693958203
mol-pebchem10m-SIDER,61,True,False,0.5984634201129013
mol-chemberta-SIDER,61,True,False,0.563551415018105
mol-roberta-SIDER,62,True,False,0.6035181807055758
mol-pebchem10m-SIDER,61,False,True,0.592193109711282
mol-chemberta-SIDER,61,False,True,0.5735966462464357
mol-roberta-SIDER,62,False,True,0.5793532276938245
mol-pebchem10m-SIDER,62,True,True,0.5888712081303432
mol-chemberta-SIDER,62,True,True,0.5740344878796103
mol-roberta-SIDER,63,True,True,0.6120772030170982
mol-chemberta-SIDER,62,True,False,0.5957641643193102
mol-pebchem10m-SIDER,62,True,False,0.5885288399535802
mol-roberta-SIDER,63,True,False,0.6381435319334736
mol-chemberta-SIDER,62,False,True,0.5687847417230588
mol-pebchem10m-SIDER,62,False,True,0.5761237077445591
mol-roberta-SIDER,63,False,True,0.5994519867597756
mol-chemberta-SIDER,63,True,True,0.5958918490715094
mol-pebchem10m-SIDER,63,True,True,0.5866825182759826
mol-roberta-SIDER,64,True,True,0.587145252942602
mol-chemberta-SIDER,63,True,False,0.6193485075703375
mol-pebchem10m-SIDER,63,True,False,0.6278328862159737
mol-roberta-SIDER,64,True,False,0.6326874623375749
mol-chemberta-SIDER,63,False,True,0.5703085593849628
mol-pebchem10m-SIDER,63,False,True,0.5929242104610941
mol-chemberta-SIDER,64,True,True,0.5884820950198321
mol-roberta-SIDER,64,False,True,0.5926663919584413
mol-roberta-SIDER,65,True,True,0.5911363964632987
mol-pebchem10m-SIDER,64,True,True,0.6033644575170267
mol-chemberta-SIDER,64,True,False,0.619396333516768
mol-chemberta-SIDER,64,False,True,0.589794181883154
mol-roberta-SIDER,65,True,False,0.6186297263320762
mol-pebchem10m-SIDER,64,True,False,0.6251715615007882
mol-chemberta-SIDER,65,True,True,0.6008527162683781
mol-roberta-SIDER,65,False,True,0.5825304938739123
mol-pebchem10m-SIDER,64,False,True,0.5842849665278035
mol-roberta-SIDER,66,True,True,0.5883181917788318
mol-pebchem10m-SIDER,65,True,True,0.595269134227671
mol-roberta-SIDER,66,True,False,0.614848859490063
mol-chemberta-SIDER,65,True,False,0.6309291456498786
mol-roberta-SIDER,66,False,True,0.5743066983188572
mol-chemberta-SIDER,65,False,True,0.5993034471100362
mol-pebchem10m-SIDER,65,True,False,0.6572595855377431
mol-roberta-SIDER,67,True,True,0.5842129317966048
mol-chemberta-SIDER,66,True,True,0.5801681142774405
mol-pebchem10m-SIDER,65,False,True,0.5789058745629012
mol-roberta-SIDER,67,True,False,0.6080461494085722
mol-chemberta-SIDER,66,True,False,0.622762496200494
mol-pebchem10m-SIDER,66,True,True,0.5892621267922273
mol-roberta-SIDER,67,False,True,0.5781828319127744
mol-chemberta-SIDER,66,False,True,0.5808566566735901
mol-roberta-SIDER,68,True,True,0.6011860075911428
mol-chemberta-SIDER,67,True,True,0.5691802820399079
mol-pebchem10m-SIDER,66,True,False,0.6486429517365844
mol-chemberta-SIDER,67,True,False,0.5822196502805053
mol-pebchem10m-SIDER,66,False,True,0.6077028631517265
mol-roberta-SIDER,68,True,False,0.6338971362529147
mol-chemberta-SIDER,67,False,True,0.5798066736683898
mol-roberta-SIDER,68,False,True,0.5871894762574277
mol-pebchem10m-SIDER,67,True,True,0.5798445002650263
mol-chemberta-SIDER,68,True,True,0.5997947320052691
mol-roberta-SIDER,69,True,True,0.6031888544891642
mol-pebchem10m-SIDER,67,True,False,0.6102549224410667
mol-chemberta-SIDER,68,True,False,0.6071725789249353
mol-pebchem10m-SIDER,67,False,True,0.5907178455315502
mol-roberta-SIDER,69,True,False,0.6457472121193905
mol-chemberta-SIDER,68,False,True,0.5786300937899591
mol-roberta-SIDER,69,False,True,0.6053847124951156
mol-pebchem10m-SIDER,68,True,True,0.5988868228289737
mol-chemberta-SIDER,69,True,True,0.6086737803961646
mol-roberta-SIDER,70,True,True,0.5626267378764225
mol-chemberta-SIDER,69,True,False,0.6385132104962578
mol-pebchem10m-SIDER,68,True,False,0.6259504598851685
mol-chemberta-SIDER,69,False,True,0.6046298355826745
mol-pebchem10m-SIDER,68,False,True,0.5959983770460502
mol-roberta-SIDER,70,True,False,0.5848038005323234
