name,m_fuse,p_fuse,m_model,p_model,auprc
Davis_ProtBertT5-xl_roberta,False,True,True,True,0.8213276863098145
Davis_ProtBertT5-xl_chemberta,False,False,True,True,0.8230205178260803
Davis_ESM3_roberta,True,True,False,True,0.8238674402236938
Davis_ProtBertT5-xl_pebchem10m,True,True,True,False,0.7948658466339111
Davis_ESM-1B_chemberta,True,True,False,True,0.8201344013214111
Davis_ProtBert-BFD_roberta,True,True,False,True,0.8159905672073364
Davis_ProtBert-BFD_pebchem10m,True,True,False,False,0.7833105325698853
Davis_ESM2_chemberta,True,True,True,False,0.7855157256126404
Davis_ESM-1B_pebchem10m,True,True,False,True,0.8409086465835571
Davis_ESM3_chemberta,True,True,True,True,0.798892617225647
Davis_ESM3_pebchem10m,True,True,False,True,0.8148911595344543
Davis_ESM2_roberta,False,False,True,True,0.781245768070221
Davis_ESM2_pebchem10m,True,True,False,True,0.7999980449676514
Davis_ProtBert-BFD_chemberta,False,False,True,True,0.8222765922546387
Davis_ProtBertT5-xl_roberta,True,False,True,True,0.8146097660064697
Davis_ProtBertT5-xl_pebchem10m,False,True,True,True,0.8152618408203125
Davis_ESM-1B_roberta,True,False,True,True,0.7774835228919983
Davis_ProtBertT5-xl_chemberta,True,True,False,True,0.8283036351203918
Davis_ESM3_roberta,True,True,True,False,0.8134147524833679
Davis_ESM-1B_chemberta,True,True,True,False,0.8190375566482544
Davis_ProtBert-BFD_pebchem10m,False,False,True,True,0.805864691734314
Davis_ESM2_chemberta,False,True,True,True,0.7832772731781006
Davis_ProtBert-BFD_roberta,True,True,True,False,0.7797672152519226
Davis_ProtBert-BFD_chemberta,True,True,False,True,0.808203935623169
Davis_ESM-1B_pebchem10m,True,True,True,False,0.8273919224739075
Davis_ProtBertT5-xl_pebchem10m,True,False,True,True,0.8110560774803162
Davis_ProtBertT5-xl_roberta,True,True,True,True,0.8355318903923035
Davis_ESM3_pebchem10m,True,True,True,False,0.7954970002174377
Davis_ESM2_pebchem10m,True,True,True,False,0.7777313590049744
Davis_ESM-1B_roberta,True,True,True,True,0.8125156164169312
Davis_ESM2_roberta,True,True,False,True,0.7912304997444153
Davis_ESM3_chemberta,True,True,False,False,0.8239763379096985
Davis_ProtBert-BFD_roberta,False,True,True,True,0.7961066961288452
Davis_ESM3_roberta,False,True,True,True,0.8115608096122742
Davis_ESM2_chemberta,True,False,True,True,0.7672003507614136
Davis_ESM-1B_chemberta,False,True,True,True,0.8102917671203613
Davis_ProtBert-BFD_pebchem10m,True,True,False,True,0.8263706564903259
Davis_ProtBertT5-xl_roberta,True,True,False,False,0.8044708371162415
Davis_ProtBertT5-xl_chemberta,True,True,True,False,0.8159046173095703
Davis_ESM3_pebchem10m,False,True,True,True,0.795891523361206
Davis_ProtBertT5-xl_pebchem10m,True,True,True,True,0.8346872925758362
Davis_ESM2_pebchem10m,False,True,True,True,0.7814550995826721
Davis_ESM-1B_pebchem10m,False,True,True,True,0.8210324645042419
Davis_ProtBert-BFD_chemberta,True,True,True,False,0.7996874451637268
Davis_ESM-1B_roberta,True,True,False,False,0.8278407454490662
Davis_ESM3_chemberta,False,False,True,True,0.8016453385353088
Davis_ESM2_roberta,True,True,True,False,0.7818953990936279
Davis_ESM3_roberta,True,False,True,True,0.805019199848175
Davis_ProtBertT5-xl_roberta,False,False,True,True,0.8214232921600342
Davis_ESM2_chemberta,True,True,True,True,0.7995495200157166
Davis_ProtBert-BFD_pebchem10m,True,True,True,False,0.777977705001831
Davis_ProtBert-BFD_roberta,True,False,True,True,0.8236949443817139
Davis_ProtBertT5-xl_pebchem10m,True,True,False,False,0.8141546845436096
Davis_ESM-1B_chemberta,True,False,True,True,0.7772958278656006
Davis_ProtBert-BFD_chemberta,False,True,True,True,0.8160005211830139
Davis_ProtBertT5-xl_chemberta,False,True,True,True,0.8249186873435974
Davis_ESM2_pebchem10m,True,False,True,True,0.7805963754653931
Davis_ESM3_chemberta,True,True,False,True,0.8129669427871704
Davis_ESM-1B_pebchem10m,True,False,True,True,0.7903839945793152
Davis_ESM2_roberta,False,True,True,True,0.7882023453712463
Davis_ESM3_pebchem10m,True,False,True,True,0.807611882686615
Davis_ESM-1B_roberta,False,False,True,True,0.788317084312439
Davis_ProtBertT5-xl_roberta,True,True,False,True,0.8385136723518372
Davis_ProtBert-BFD_pebchem10m,False,True,True,True,0.8187029957771301
Davis_ProtBert-BFD_roberta,True,True,True,True,0.8097833395004272
Davis_ProtBertT5-xl_pebchem10m,False,False,True,True,0.8314998745918274
Davis_ESM2_chemberta,True,True,False,False,0.8078411221504211
Davis_ESM-1B_chemberta,True,True,True,True,0.8274722695350647
Davis_ESM3_chemberta,True,True,True,False,0.7982028126716614
Davis_ESM-1B_pebchem10m,True,True,True,True,0.8216102719306946
Davis_ESM3_roberta,True,True,True,True,0.8114713430404663
Davis_ProtBertT5-xl_chemberta,True,False,True,True,0.8240277171134949
Davis_ProtBert-BFD_chemberta,True,False,True,True,0.8143580555915833
Davis_ESM2_pebchem10m,True,True,True,True,0.8057359457015991
Davis_ESM3_pebchem10m,True,True,True,True,0.8137091994285583
Davis_ProtBert-BFD_pebchem10m,True,False,True,True,0.7995023727416992
Davis_ESM2_roberta,True,False,True,True,0.7901254892349243
